id,type,group,name
229,2,tdoa3,stHit
230,2,tdoa3,stMiss
231,7,tdoa3,cc
232,2,tdoa3,tof
233,7,tdoa3,tdoa
234,1,motion,motion
235,5,motion,deltaX
236,5,motion,deltaY
237,2,motion,shutter
238,1,motion,maxRaw
239,1,motion,minRaw
240,1,motion,Rawsum
241,1,motion,outlierCount
242,2,oa,front
243,2,oa,back
244,2,oa,up
245,2,oa,left
246,2,oa,right
247,2,range,front
248,2,range,back
249,2,range,up
250,2,range,left
251,2,range,right
