,tick,ctrlGeo.cmd_thrust_x,ctrlGeo.safe_thrust_x,ctrlGeo.log_state_x,ctrlGeo.log_state_y,ctrlGeo.log_state_z,ctrlGeo.log_state_vx,ctrlGeo.log_state_cov_x,ctrlGeo.log_state_cov_vx,ctrlGeo.log_h
0,4162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4231.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,4252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4261.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,4265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,4274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,4279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,4288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,4292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,4296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,4301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,4305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,4310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,4319.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,4323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,4328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,4332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,4336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,4341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,4345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,4350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,4354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,4363.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,4368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,4372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,4385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,4394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,4398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,4402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,4407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,4411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,4415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,4420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,4424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,4429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,4433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,4438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,4442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,4447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,4451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,4455.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,4460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,4464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,4469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,4473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,4478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,4482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,4487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,4491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,4495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,4504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,4509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,4513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,4518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,4522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,4527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,4531.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
