,tick,ctrlGeo.cmd_thrust_x,ctrlGeo.safe_thrust_x,ctrlGeo.log_state_x,ctrlGeo.log_state_y,ctrlGeo.log_state_z,ctrlGeo.log_state_vx,ctrlGeo.log_state_cov_x,ctrlGeo.log_state_cov_vx,ctrlGeo.log_h
0,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4378.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4382.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,4400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4413.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,4435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,4444.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
