,tick,ctrlGeo.cmd_thrust_x,ctrlGeo.safe_thrust_x,ctrlGeo.log_state_x,ctrlGeo.log_state_y,ctrlGeo.log_state_z,ctrlGeo.log_state_vx,ctrlGeo.log_state_cov_x,ctrlGeo.log_state_cov_vx,ctrlGeo.log_h
6582,32163.0,-0.0,-0.0,-0.01735803857445717,0.01720476895570755,0.015452275983989239,-0.007645735051482916,1.750066439853981e-05,0.000278192717814818,2.5944361686706543
6583,32167.0,-0.0,-0.0,-0.017305264249444008,0.017360245808959007,0.0154326306656003,-0.007498822640627623,1.6764832253102213e-05,0.0002723755897022784,2.594025135040283
6584,32172.0,-0.0,-0.0,-0.017381250858306885,0.017115958034992218,0.015469096601009369,-0.007699275389313698,1.7822496374719776e-05,0.00028102315263822675,2.5946054458618164
6585,32176.0,-0.0,-0.0,-0.017326584085822105,0.01732064224779606,0.015448438003659248,-0.007546369917690754,1.7059930542018265e-05,0.0002749489212874323,2.594179391860962
6586,32181.0,-0.0,-0.0,-0.01727641187608242,0.017509939149022102,0.015429523773491383,-0.0074075148440897465,1.6359965229639784e-05,0.0002694704453460872,2.593789577484131
6587,32185.0,-0.0,-0.0,-0.01735164038836956,0.017269782721996307,0.015465142205357552,-0.007638987153768539,1.7392434529028833e-05,0.00027804021374322474,2.5943970680236816
6588,32189.0,-0.0,-0.0,-0.017299504950642586,0.017464758828282356,0.015445125289261341,-0.007493922021239996,1.6665497241774574e-05,0.0002722954086493701,2.59399151802063
6589,32194.0,-0.0,-0.0,-0.01732143945991993,0.017423706129193306,0.01545979268848896,-0.007565014064311981,1.6963607777142897e-05,0.0002737155300565064,2.594172239303589
6590,32198.0,-0.0,-0.0,-0.01732143945991993,0.017423706129193306,0.01545979268848896,-0.007565014064311981,1.6964051610557362e-05,0.00027492555091157556,2.594172239303589
6591,32202.0,-0.0,-0.0,-0.017397891730070114,0.017180869355797768,0.01549597643315792,-0.007726181298494339,1.8035418179351836e-05,0.00028362119337543845,2.5947155952453613
6592,32206.0,-0.0,-0.0,-0.017397891730070114,0.017180869355797768,0.01549597643315792,-0.007726181298494339,1.8035751054412685e-05,0.0002845287090167403,2.5947155952453613
